Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Eftlab Pty Ltd,Sandgate,4017,,,Babylon Payment Switch - flexible and secure payment gateway for the electronic payments industry,Sandgate,4017,,9/03/2017,Brisbane (C),Brisbane and Redlands,Sandgate,249150
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Darling Downs Ice Cream Company Pty Ltd,Toowoomba West,4350,,,"Development and Export of Innovative, Functional Ice Cream Products",Wilsonton,4350,,9/03/2017,Toowoomba (R),Darling Downs,Toowoomba North,50000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Desygner Pty Ltd,Surfers Paradise,4217,,,Desygner Branding - A Branded User-Generated Enterprise Marketing Solution,Southport,4215,,9/03/2017,Gold Coast (C),Gold Coast,Surfers Paradise,96000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Eng Access Pty Ltd,Dayboro,4521,,,Eng Access: Professional engineering on demand.,Dayboro,4521,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Gpsi Group Pty Ltd,Brisbane City,4000,,,Target Zero - Zero Vehicle Accidents and Injuries,Newstead,4006,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Gyuto Pty Ltd,New Farm,4005,,,Hay Guard - A Novel System to Guard Against Internal Combustion of Hay,New Farm,4005,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,49140
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Fx2school Pty Ltd,Brisbane City,4000,,,FX2School Version 2,Brisbane City,4000,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,99245
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Evolving Machine Intelligence Pty Ltd,Indooroopilly,4068,,,Reconstruction of reduced-complexity mathematical dynamics of aviation turbine engines,Brisbane City,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Fathom Applications Pty Ltd,Albany Creek,4035,,,'Accelerate' Reporting,Albany Creek,4035,,10/03/2017,Moreton Bay (R),Moreton Bay,Everton,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blue Electronics Pty Ltd,Massie,4370,,,Patented Blue Precision Locator System,Ipswich,4305,,10/03/2017,Southern Downs (R),Ipswich,Southern Downs,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blue Squirrel Financial Services Pty Ltd,Bardon,4065,,,Squirrel Biz – Developing a B2B proposition for Squirrel App customers,Bardon,4065,,9/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Blast Movement Technologies Pty Ltd,Seventeen Mile Rocks,4073,,,Field Testing and Marketing of a High Precision GPS Detector,Seventeen Mile Rocks,4073,,10/03/2017,Brisbane (C),Brisbane and Redlands,Mount Ommaney,94961
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,BioQ Devices Pty Ltd,Toowong,4066,,,An advanced low cost minimally invasive cardiac assist device,Toowong,4066,,10/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Bivacor Pty Ltd,Wilston,4051,,,Development of a wearable patient controller for pulsatile operation of a rotary total artificial heart in women and children,Wilston,4051,,9/03/2017,Brisbane (C),Brisbane and Redlands,Stafford,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Boardcave.com Pty Ltd,Burleigh Heads,4220,,,Cavewire® - Driving brick and mortar retail sales,Burleigh Heads,4220,,9/03/2017,Gold Coast (C),Gold Coast,Burleigh,240000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Connected Sports Technologies Pty Ltd,West End,4101,,,SMAX Bat-Swing Analyser,West End,4101,,9/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,99500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cyclevision Pty Ltd,Cairns,4870,,,Cyclevision Advanced Concept Bicycle Helmets,Cairns City,4870,,9/03/2017,Cairns (R),Far North Queensland,Cairns,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cobalt Extreme Pty Ltd,East Brisbane,4169,,,The CobaltSPIRAL System,East Brisbane,4169,,10/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cellarouge Pty Ltd,Jollys Lookout,4520,,,Queensland Grown Aged Green Tea - No Pain - First cup - 15 minutes,Jollys Lookout,4520,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,79600
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Cleantech U.V. International Pty Ltd,Varsity Lakes,4227,,,"Development of a UV disinfection device to be used in the medical industry, to combat secondary infections in hospitals and aged care facilities.",Varsity Lakes,4227,,10/03/2017,Gold Coast (C),Gold Coast,Burleigh,85000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Heluva Pty Ltd,West End,4101,,,Ellaspede - Motorcycle Kits,West End,4101,,10/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,99600
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Power Iq Pty Ltd,Meadowbrook,4131,,,Commercialisation and Launch of Super-Efficient Battery Inverter,Capalaba,4157,,9/03/2017,Logan (C),Brisbane and Redlands,Waterford,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Premier Rock Machinery Pty Ltd,Willawong,4110,,,Sentinel - Hazardous Zone Monitoring System Project,Willawong,4110,,9/03/2017,Brisbane (C),Brisbane and Redlands,Algester,99700
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Point Duty Pty Ltd,Sippy Downs,4556,,,Point Duty Intelligence Data Capture System,Sippy Downs,4556,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Buderim,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Nexgen Plants Pty Ltd,St Lucia,4067,,,Virus resistance driving food security,St Lucia,4067,,10/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,222900
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Next Generation Mobility Pty Ltd,Tugun,4224,,,The future of Power Wheelchairs,Tugun,4224,,9/03/2017,Gold Coast (C),Gold Coast,Currumbin,84518
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Q G E Pty Ltd,South Brisbane,4101,,,Ex-online,South Brisbane,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,247228
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Sisa-tech Pty Ltd,Palm Beach,4221,,,Beta Test of Vorteil - a New Data Centre and Cloud Operating System,Palm Beach,4221,,9/03/2017,Gold Coast (C),Gold Coast,Burleigh,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Site Diary Pty Ltd,Wakerley,4154,,,Site Diary,Wakerley,4154,,10/03/2017,Brisbane (C),Brisbane and Redlands,Chatsworth,88500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Sales Miner Pty Ltd,Newstead,4006,,,Market segmentation analytical and visualisation engine,Newstead,4006,,9/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Q-cool Pty Ltd,Coorparoo,4151,,,"ThermoSphere, a Smart, zone-able, modular, concealed and highly energy efficient airconditioner",Coorparoo,4151,,9/03/2017,Brisbane (C),Brisbane and Redlands,Greenslopes,245343
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Safecam Technologies Pty Ltd,Yatala,4207,,,SAFESTRUCT: Roadwork Safety Based Speed Enforcement using 24/7 Unmanned Fully Autonomous and Automated System,Yatala,4207,,9/03/2017,Gold Coast (C),Gold Coast,Coomera,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Ir4 Pty Ltd,Yatala,4207,,,Development of UV Cured Paint technology utilising UV LED lights on fabricated structural steel,Yatala,4207,,9/03/2017,Gold Coast (C),Gold Coast,Coomera,187500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Ivvy Pty Ltd,Varsity Lakes,4227,,,iVvy Supplier Management Solution,Varsity Lakes,4227,,10/03/2017,Gold Coast (C),Gold Coast,Mermaid Beach,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Inline Orthopaedics Pty Ltd (In Liquidation),Samford Village,4520,,,Hospital audit trials of a computerised surgical assistance system for total hip replacement surgery.,Samford Village,4520,,9/03/2017,Moreton Bay (R),Moreton Bay,Pine Rivers,62500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Huds and Toke Pty Ltd,Coolum Beach,4573,,,Huds and Toke Pty Ltd International Digital Expansion Project,Warana,4575,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Kawana,88975
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,ImmersaView Pty Ltd,Banyo,4014,,,"A cloud based, video streaming software as a service",Banyo,4014,,9/03/2017,Brisbane (C),Brisbane and Redlands,Nudgee,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Kfsu Ltd,Ayr,4807,,,Phytocel an innovative functional fibre from sugarcane that improves cost and claims in manufactured goods,Ayr,4807,,9/03/2017,Burdekin (S),Townsville,Burdekin,71600
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Motor Cycle Innovation Pty Ltd,Ashgrove,4060,,,Motoinno TS3 - Triangulated Steering and Suspension System for motorcycles,Ashgrove,4060,,9/03/2017,Brisbane (C),Brisbane and Redlands,Cooper,187500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Myoni Group Pty Ltd,Clontarf,4019,,,Myoni Cup: The Clever Companion for Smooth Periods,Clontarf,4019,,9/03/2017,Moreton Bay (R),Moreton Bay,Redcliffe,97593
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,MiCare Global Pty Ltd,Brisbane City,4000,,,MiEd Enterprise Management Solution,Brisbane City,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,LincRobotics Pty Ltd,Oxenford,4210,,,Grass Advertising Robots for Venues,Oxenford,4210,,9/03/2017,Gold Coast (C),Gold Coast,Theodore,94000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Locatrix International Pty Ltd,Brisbane City,4000,,,Network-Independent IoT Location Solution,Brisbane City,4000,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Bio Consultancy Pty Ltd,Sherwood,4075,,,Invertebrate marine collagen biomaterial for the regenerative medicine market,Sherwood,4075,,9/03/2017,Brisbane (C),Brisbane and Redlands,Mount Ommaney,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Field Orthopaedics Pty Ltd,Spring Hill,4000,,,Field Orthopaedics Magnetic Total Wrist Replacement,Teneriffe,4005,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Futureprofit Pty Ltd,Springwood,4127,,,EVORCE product validation and market commercialisation project,Springwood,4127,,18/07/2016,Logan (C),Logan,Springwood,128175
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Enviromist Pty Ltd,The Gap,4061,,,Dust suppression system for stockpile discharge conveyors,The Gap,4061,,18/07/2016,Brisbane (C),Brisbane and Redlands,Cooper,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Elevare Energy Pty Ltd,Enoggera,4051,,,"'""Smart"" batteries using clean energy to reduce commercial building electricity costs",Enoggera,4051,,18/07/2016,Brisbane (C),Brisbane and Redlands,Ferny Grove,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Ellume Pty Ltd,East Brisbane,4169,,,Clinical validation trial for Respirio Flu Test (RFT),East Brisbane,4169,,18/07/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,GO1 Pty Ltd,Underwood,4119,,,GO1 Online Training Native Mobile Application Development,Underwood,4119,,18/07/2016,Logan (C),Logan,Waterford,178000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Impact Building Systems Pty Ltd,Highvale,4520,,,Patented low cost Solar Thermal Collector,Highvale,4520,,18/07/2016,Moreton Bay (R),Moreton Bay,Pine Rivers,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,J T Lawson & G R Wickham,Yungaburra,4884,,,ATV Angle Alarm Development Project,Yungaburra,4884,,5/08/2016,Tablelands (R),Far North Queensland,Hill,49834
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Immersive Robotics Pty Ltd,Fortitude Valley,4006,,,Wireless VR BETA,Fortitude Valley,4006,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Gruntify ATF The Trustee for The Stjepanovic Family Trust,Fortitude Valley,4006,,,"Commercialisation of Gruntify, real-time incident and report management platform",Fortitude Valley,4006,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Hypometer Technologies Pty Ltd,Fortitude Valley,4006,,,Hypometer Technologies Big Data Analytics,Fortitude Valley,4006,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,98900
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Apunga Pty Ltd,Coorparoo,4151,,,Apunga - Horticultural Farm Management & QA System,East Brisbane,4169,,18/07/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Arthritis Relief Plus Limited,Varsity Lakes,4227,,,Patented Topical for Joint Pain including from Osteoarthritis,Varsity Lakes,4227,,18/07/2016,Gold Coast (C),Gold Coast,Mermaid Beach,93500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Alsonex Pty Ltd,Brisbane City,4000,,,Complement inhibitor for treating motor neurone disease,Brisbane City,4000,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Admedus Vaccines Pty Ltd,Woolloongabba,4102,,,Development of a therapeutic HPV vaccine to clinical proof of concept,St Lucia,4067,,18/07/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,187500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Agalytics Pty Ltd,Indooroopilly,4068,,,agAlytics Soil Nutrient Management,Indooroopilly,4068,,18/07/2016,Brisbane (C),Brisbane and Redlands,Maiwar,50000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Atmail Pty Ltd,Peregian Beach,4573,,,Mailstorm - Object storage plugin for email service providers,Peregian Beach,4573,,18/07/2016,Noosa (S),Sunshine Coast,Noosa,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Didgigo Marketing Pty Ltd,Cairns,4870,,,Markets Engagement - Didgigo,Cairns City,4870,,18/07/2016,Cairns (R),Far North Queensland,Cairns,100700
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Dingo Energy Pty Ltd,Wilston,4051,,,Cloud based visual inspection app and service for asset based industries,Wilston,4051,,18/07/2016,Brisbane (C),Brisbane and Redlands,Stafford,97000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Coral Sunscreen Pty Ltd,Aitkenvale,4814,,,UV protection filters for humans and materials inspired by Great Barrier Reef Coral sun protection,Aitkenvale,4814,,18/07/2016,Townsville (C),Townsville,Mundingburra,244400
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Axis Energy Group Pty Ltd,Bundall,4217,,,Optimisation of patented wind turbines,Bundall,4217,,18/07/2016,Gold Coast (C),Gold Coast,Southport,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Brisbane Materials Technology Pty Ltd,Darra,4076,,,New Material for LED Manufacturing,Darra,4076,,18/07/2016,Brisbane (C),Ipswich,Inala,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Kahest Pty Ltd,White Rock,4868,,,Catch'n'Release Anchor Retrieval System Commercialisation and Testing,White Rock,4868,,18/07/2016,Cairns (R),Far North Queensland,Mulgrave,91000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Wedding Village Pty Ltd,Moggill,4070,,,"Commercialisation of visual search, comparison and booking platform for wedding services",Chapel Hill,4069,,18/07/2016,Brisbane (C),Brisbane and Redlands,Moggill,97800
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Affinity.me Pty Ltd,Brisbane City,4000,,,"Affinity - Validation of Affinity Engine, Investor Attraction and Market Development",Brisbane City,4000,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Verton Technologies Australia Pty Ltd,Milton,4064,,,ROVER (Remotely Operated Variable Effort Rotator),Brisbane City,4000,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Synergy Eight Pty Ltd,Wooloowin,4030,,,Commercialisation of digital marketing software,Wooloowin,4030,,18/07/2016,Brisbane (C),Brisbane and Redlands,Clayfield,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,V2i Pty Ltd,Arundel,4214,,,V2i Realtime Platform to Enable Systems Re-engineering,Arundel,4214,,18/07/2016,Gold Coast (C),Gold Coast,Bonney,234128
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Agrichain Pty Ltd,Burleigh Heads,4220,,,BlockGrain,Burleigh Heads,4220,,9/03/2017,Gold Coast (C),Gold Coast,Burleigh,95000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Assured It Pty Ltd,Morningside,4170,,,Tru-Motion Simulation Platform (Tru-Motion – to be trademarked),Morningside,4170,,9/03/2017,Brisbane (C),Brisbane and Redlands,Bulimba,245500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Avmin Pty Ltd,Brisbane City,4000,,,Jetbidders Project,Brisbane City,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,74340
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Amblyoptica (Holding) Pty Ltd,Mount Lofty,4350,,,Clinical Trial to Validate Proof of Concept of a Medical Device to Treat Amblyopia,Mount Lofty,4350,,10/03/2017,Toowoomba (R),Darling Downs,Toowoomba North,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Alkira Software Pty Ltd,Doonan,4562,,,Alkira Software - assistive vocational platform for low/no vision applications,Doonan,4562,,9/03/2017,Noosa (S),Sunshine Coast,Ninderry,99800
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Allaro Homes Cairns Pty Ltd,Bungalow,4870,,,"BIM BAM VR, Pricing and Digital Asset Library for Revit Architecture",Bungalow,4870,,10/03/2017,Cairns (R),Far North Queensland,Cairns,99390
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Opmantek Ltd,Surfers Paradise,4217,,,ReportIoT - IoT and BYoD management platform,Surfers Paradise,4217,,18/07/2016,Gold Coast (C),Gold Coast,Surfers Paradise,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Osler Technology Pty Ltd,Noosa Heads,4567,,,Osler Clinical Performance - Community Model,Noosa Heads,4567,,18/07/2016,Noosa (S),Sunshine Coast,Noosa,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Natural Evolution Pty Ltd,Walkamin,4872,,,Natural Evolution - a world=class food production process for gluten-free and RS products,Walkamin,4872,,18/07/2016,Tablelands (R),Far North Queensland,Hill,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Lifemere Pty Ltd,Hodgson Vale,4352,,,World-first feeding device for people impaired with dysphagia (Rosecup/NutriTaste),Hodgson Vale,4352,,18/07/2016,Toowoomba (R),Darling Downs,Condamine,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Magnetica Limited,Eagle Farm,4009,,,Manufacturing Innovative MRI sub-systems,Eagle Farm,4009,,18/07/2016,Brisbane (C),Brisbane and Redlands,Clayfield,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,"Parsons, Bradley Evan",Bardon,4065,,,FitMachine,Bardon,4065,,18/07/2016,Brisbane (C),Brisbane and Redlands,Cooper,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Strategik Pty Ltd,Sippy Downs,4556,,,Strategik 365,Sippy Downs,4556,,18/07/2016,Sunshine Coast (R),Sunshine Coast,Buderim,79200
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Surgical Performance Pty Ltd,Greenslopes,4120,,,Surgeon Score Card,Greenslopes,4120,,18/07/2016,Brisbane (C),Brisbane and Redlands,Greenslopes,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Roubler Australia Pty Ltd,Brisbane City,4000,,,Commercialisation of Roubler's complete workforce management solution,Brisbane City,4000,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,99144
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Pimovation Pty Ltd,Coomera,4209,,,Grapple Go To Market,Coomera,4029,,18/07/2016,Gold Coast (C),Gold Coast,Coomera,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2015-16 Round 1,Redeye Apps Pty Ltd,Brisbane City,4000,,,RedEyeWFM,Brisbane City,4000,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Skyborne Technologies Pty Ltd,Hemmant,4174,,,Cerberus GL - Tactical UAV,Hemmant,4174,,9/03/2017,Brisbane (C),Brisbane and Redlands,Lytton,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Hive Haven Pty Ltd,Sippy Downs,4556,,,Hive Haven Australian Stingless Native Bee Hive Assembly & Native Honey,Sippy Downs,4556,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Buderim,99918
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Hydrox Technologies Pty Ltd,Sumner Park,4074,,,Preparation for the international commercialization of Solar Shrink plastic mulch,Sumner,4074,,5/09/2017,Brisbane (C),Ipswich,Mount Ommaney,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Helix Innovation Solutions Pty Ltd,Brisbane City,4000,,,LawLancer,Brisbane City,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,FSMD Pty Ltd,Woolloongabba,4102,,,"flaik: ""Data-Driven One Stop Shop for Ski School Management""",Woolloongabba,4102,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Fusion Sport Pty Ltd,Sumner Park,4074,,,Military Market Entry: SMARTABASE Human Performance Software,Sumner,4074,,5/09/2017,Brisbane (C),Ipswich,Mount Ommaney,249725
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,InFarm Pty Ltd,Goondiwindi,4390,,,Drone to Tractor Weed Solution,Goondiwindi,4390,,5/09/2017,Goondiwindi (R),Darling Downs,Southern Downs,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Iridium Dynamics Pty Ltd,Kelvin Grove,4059,,,Halo: a VTOL UAV for combined forward-flight and extended-hover missions.,Kelvin Grove,4059,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,99901
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,iWeb Solutions Pty Ltd,Brisbane City,4000,,,Green Galaxies - Energy Education for the Future,Brisbane City,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,IRE Pty Ltd,Indooroopilly,4068,,,KeyTracker Pro,Indooroopilly,4068,,5/09/2017,Brisbane (C),Brisbane and Redlands,Maiwar,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Infofish Australia Pty Ltd,Murarrie,4172,,,Crystal Bowl Fisheries Forecasting for the Great Barrier Reef,Murarrie,4172,,5/09/2017,Brisbane (C),Brisbane and Redlands,Bulimba,94000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,iPug Pty Ltd,Maroochydore,4558,,,Mesearchr | Share Collaborate and Complete your research,Maroochydore,4558,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Enviro Straw Pty Ltd,Ashgrove,4060,,,Efficacy and Non-toxicity Testing of GeoSpray,Ashgrove,4060,,5/09/2017,Brisbane (C),Brisbane and Redlands,Cooper,88190
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Ethos Pty Ltd,Teneriffe,4005,,,Comprehensive preventative health assessment tool with stratified follow-up interventions,Teneriffe,4005,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Edward Intelligence Pty Limited,Spring Hill,4000,,,Edward Reports – Commercialisation,Spring Hill,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Cygura Pty Ltd,South Brisbane,4101,,,Commercialise: Accountant Secure File (ACSFTP) & Experienced Investor Test (EIT),South Brisbane,4101,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Dimity Dornan Consulting Pty Ltd,Toowong,4066,,,Akoue Assistive Hearing Device,Toowong,4066,,5/09/2017,Brisbane (C),Brisbane and Redlands,Maiwar,99500
